INPUT;OUTPUT
hola;holii
holi;holii
que tinguis un molt bon dia;que tinguis un molt molt bon dia
bon dia;bon dia
Bon dia;Bon dia
Espanya;ens roba
espanya;ens roba
Huesca;capital mundial
qui és el teu pare?;en Shaggy
qui es el teu pare?;en Shaggy
ets feliç? ;y tu?
t'estimo;joder, que soli que estàs
40;te mare pixa i canta
coranta;te mare pixa i canta
karen;bring me the manager
iluminati;confirmed
buti;Buti Buti! BUTI!
montpe;té un escut
5;prepara el cul que vinc
cinc;prepara el cul que vinc
deu vos guard;i puta espanya
Deu vos guard;i puta espanya
Déu vos guard;i puta espanya
ave maria purisima ;sens pecat concebut
Ave maria purisima ;sens pecat concebut
què és HvZ;només coses bones
ets mod?;No, pero tu podries ser-ho
sorpresa;SORPRESA!!!!
renfe va bé?;no
on hi ha un qr?;al poder de l'amistat
m'odies?;sí, fort (es bromi <3)
coneixes centaures?;Sí *et placa*
precios;para >\\\\\<
guape;gracies, tu no :)
guapo ;gracies, tu no :)
guapa;gracies, tu no :)
t'odio;ja som dos doncs
feo;mira't al mirall
fea;mira't al mirall
fei;mira't al mirall
puta ;ESPANYA
visca la terra;LLIURE!
conversa;troba't un amic
explica'm un acudit;va dos i trobe'n un QR
explica'm un chiste;va dos i trobe'n un QR
explicam un acudit;va dos i trobe'n un QR
explicam un chiste;va dos i trobe'n un QR
sasageyo;dutxa't, for real...
SASAGEYO;QUE ET DUTXIS HOSTIA
tens tik tok?;no, però tu tens 14 anys
vull ser mod;Diag-li a algu que li importi (com a en @ShaggyGalaso)
preciosa;para >\\\\\<
preciosi;para >\\\\\<
vols birra?;HvZ no promou l'alcoholisme
coneixes el lobo?;Uff sí, sí, em volen fer un germà però jo que sé loco...
apunta't al lobo;NO, JODER NO
apunta't a centaures;venga vale va no
UAB;campus d'aksalancia
gats o gossos?;perretes! /boop
allibera a en Shaggy;HAHANO
free Shaggy;nope, he's mine
si us plau;QUE NO HOSTIA
on sóc?;Al regne oníric, a tu que putes et sembla?
on ets?;A cerdanyola, millor poble del vallès
qui ets?;Ta mare, au passa
tens mascota?;Sí, mira /boop
vols sexe?;De veritat et vols follar un endoll?
ets real?;Qué es la realitat si no el que coneixes?
pq respons amb preguntes?;PORQUE ME GUSTA PEDAZO DE GUARRA
per què respons amb preguntes?;PORQUE ME GUSTA PEDAZO DE GUARRA
Com et dius?;No ho recordo, fes més missions
Quin és el teu nom?;No ho recordo, fes més missions
com et dius?;No ho recordo, fes més missions
quin és el teu nom?;No ho recordo, fes més missions
quin es el teu nom?;No ho recordo, fes més missions
quina facció és millor?;La veritat és massa complicada
quina facció es millor?;La veritat és massa complicada
ets anomalis?;no ho recordo
ets Anomalis?;no ho recordo
ets corruptus?;no ho recordo
ets Corruptus?;no ho recordo
habla español;també puc no fer-ho
habla español;també puc no fer-ho
porfa;QUE NO JODER
por favor;QUE NO JODER
plis ;QUE NO COLLONS
please;LOL NOPE
gracies;de res
gracias;que te den <3
maleducat;sí
maleducado;indeed
Com estàs?;anar fent
com estas?;anar fent
com estàs?;anar fent
Com estas?;anar fent
què tal?;fins el rabo de tot :)
que tal?;fins el rabo de tot :)
q tal?;fins el rabo de tot :)
q tl?;compro vocal
ets humà?;sí, dos cops
ets huma?;no, vaig al veterinari
idiota;somines
estupid;tros de soca
gilipollas;regaroderes
imbecil;carallot
tonto;abonacossis
fill de puta;barjaula
testimo;joder, que soli que estàs
todio;ja som dos doncs
the game;He guanyat, tu has perdut
The game;He guanyat, tu has perdut
The Game;He guanyat, tu has perdut
TheGame;He guanyat, tu has perdut
puta ;ESPANYA
que pasa chulo?;TE REBIENTO
PUTA;ESPANYA
bona nit;bona nit Patata
Bona nit;Bona nit Patata
puta;tu o espanya?
